,SMILES,Subs,Can_Smiles
0,P([CH](C)C)([CH](C)C)[CH](C)C,[CH](C)C,CC(C)P(C(C)C)C(C)C
1,P([N]([Si](C)(C)C)[Si](C)(C)C)([N]([Si](C)(C)C)[Si](C)(C)C)[N]([Si](C)(C)C)[Si](C)(C)C,[N]([Si](C)(C)C)[Si](C)(C)C,C[Si](C)(C)N(P(N([Si](C)(C)C)[Si](C)(C)C)N([Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C
2,P([C](C)(C)C)([C](C)(C)C)[C](C)(C)C,[C](C)(C)C,CC(C)(C)P(C(C)(C)C)C(C)(C)C
3,P([C](c1ccccc1)(c1ccccc1)c1ccccc1)([C](c1ccccc1)(c1ccccc1)c1ccccc1)[C](c1ccccc1)(c1ccccc1)c1ccccc1,[C](c1ccccc1)(c1ccccc1)c1ccccc1,c1ccc(C(c2ccccc2)(c2ccccc2)P(C(c2ccccc2)(c2ccccc2)c2ccccc2)C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
4,P([c]1ccccc1)([c]1ccccc1)[c]1ccccc1,[c]1ccccc1,c1ccc(P(c2ccccc2)c2ccccc2)cc1
5,P(O)(O)O,O,OP(O)O
6,P([c]1c(cccc1)c1cccc(c1)C)([c]1c(cccc1)c1cccc(c1)C)[c]1c(cccc1)c1cccc(c1)C,[c]1c(cccc1)c1cccc(c1)C,Cc1cccc(-c2ccccc2P(c2ccccc2-c2cccc(C)c2)c2ccccc2-c2cccc(C)c2)c1
7,P([c]1cccn1c1ccccc1OC)([c]1cccn1c1ccccc1OC)[c]1cccn1c1ccccc1OC,[c]1cccn1c1ccccc1OC,COc1ccccc1-n1cccc1P(c1cccn1-c1ccccc1OC)c1cccn1-c1ccccc1OC
8,P([C]1=CCCCC1)([C]1=CCCCC1)[C]1=CCCCC1,[C]1=CCCCC1,C1=C(P(C2=CCCCC2)C2=CCCCC2)CCCC1
9,P(F)(F)F,F,FP(F)F
10,P([NH]C(=O)c1sccc1)([NH]C(=O)c1sccc1)[NH]C(=O)c1sccc1,[NH]C(=O)c1sccc1,O=C(NP(NC(=O)c1cccs1)NC(=O)c1cccs1)c1cccs1
11,P([H])([H])[H],[H],P
12,P([c]1c(F)cccc1F)([c]1c(F)cccc1F)[c]1c(F)cccc1F,[c]1c(F)cccc1F,Fc1cccc(F)c1P(c1c(F)cccc1F)c1c(F)cccc1F
13,P([CH]1CCCCC1)([CH]1CCCCC1)[CH]1CCCCC1,[CH]1CCCCC1,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1
14,P(n1[cH]ccc1)(n1[cH]ccc1)n1[cH]ccc1,n1[cH]ccc1,c1ccn(P(n2cccc2)n2cccc2)c1
15,P([c]1c(cccc1)C)([c]1c(cccc1)C)[c]1c(cccc1)C,[c]1c(cccc1)C,Cc1ccccc1P(c1ccccc1C)c1ccccc1C
16,P([CH]=C)([CH]=C)[CH]=C,[CH]=C,C=CP(C=C)C=C
17,P([O]c1ccccc1)([O]c1ccccc1)[O]c1ccccc1,[O]c1ccccc1,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1
18,P([O][C]1CCOCC1)([O][C]1CCOCC1)[O][C]1CCOCC1,[O][C]1CCOCC1,C1C[C](OP(O[C]2CCOCC2)O[C]2CCOCC2)CCO1
20,P([CH]1c2c(C=Cc3c1cccc3)cccc2)([CH]1c2c(C=Cc3c1cccc3)cccc2)[CH]1c2c(C=Cc3c1cccc3)cccc2,[CH]1c2c(C=Cc3c1cccc3)cccc2,C1=Cc2ccccc2C(P(C2c3ccccc3C=Cc3ccccc32)C2c3ccccc3C=Cc3ccccc32)c2ccccc21
21,P([N]1CCCCC1)([N]1CCCCC1)[N]1CCCCC1,[N]1CCCCC1,C1CCN(P(N2CCCCC2)N2CCCCC2)CC1
22,P([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C,[Si](C)(C)C,C[Si](C)(C)P([Si](C)(C)C)[Si](C)(C)C
23,P([c]1cc(cc(c1)C(F)(F)F)C(F)(F)F)([c]1cc(cc(c1)C(F)(F)F)C(F)(F)F)[c]1cc(cc(c1)C(F)(F)F)C(F)(F)F,[c]1cc(cc(c1)C(F)(F)F)C(F)(F)F,FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1
24,P([O]CCCC)([O]CCCC)[O]CCCC,[O]CCCC,CCCCOP(OCCCC)OCCCC
25,P([N](C(C)C)C(C)C)([N](C(C)C)C(C)C)[N](C(C)C)C(C)C,[N](C(C)C)C(C)C,CC(C)N(C(C)C)P(N(C(C)C)C(C)C)N(C(C)C)C(C)C
26,P([O]c1c(cccc1)C)([O]c1c(cccc1)C)[O]c1c(cccc1)C,[O]c1c(cccc1)C,Cc1ccccc1OP(Oc1ccccc1C)Oc1ccccc1C
27,P([CH]1C=Cc2ccccc12)([CH]1C=Cc2ccccc12)[CH]1C=Cc2ccccc12,[CH]1C=Cc2ccccc12,C1=CC(P(C2C=Cc3ccccc32)C2C=Cc3ccccc32)c2ccccc21
28,P([CH3])([CH3])[CH3],[CH3],CP(C)C
29,P([c]1ccc(C)cc1)([c]1ccc(C)cc1)[c]1ccc(C)cc1,[c]1ccc(C)cc1,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1
30,P([CH2]CC#N)([CH2]CC#N)[CH2]CC#N,[CH2]CC#N,N#CCCP(CCC#N)CCC#N
31,P([O][C@@]12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)([O][C@@]12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)[O][C@@]12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,[O][C@@]12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,C1[C@H]2C[C@H]3C[C@@H]1C[C@@](OP(O[C@]14C[C@H]5C[C@H](C[C@H](C5)C1)C4)O[C@]14C[C@H]5C[C@H](C[C@H](C5)C1)C4)(C2)C3
32,P(C(F)(F)F)(C(F)(F)F)C(F)(F)F,C(F)(F)F,FC(F)(F)P(C(F)(F)F)C(F)(F)F
34,P([NH][C@@H](C(=O)OC)C)([NH][C@@H](C(=O)OC)C)[NH][C@@H](C(=O)OC)C,[NH][C@@H](C(=O)OC)C,COC(=O)[C@@H](C)NP(N[C@H](C)C(=O)OC)N[C@H](C)C(=O)OC
35,P([O]c1c(O)cccc1)([O]c1c(O)cccc1)[O]c1c(O)cccc1,[O]c1c(O)cccc1,Oc1ccccc1OP(Oc1ccccc1O)Oc1ccccc1O
36,P([C](c1ccccc1)c1ccccc1)([C](c1ccccc1)c1ccccc1)[C](c1ccccc1)c1ccccc1,[C](c1ccccc1)c1ccccc1,c1ccc([C](c2ccccc2)P([C](c2ccccc2)c2ccccc2)[C](c2ccccc2)c2ccccc2)cc1
37,P([N](C)C)([N](C)C)[N](C)C,[N](C)C,CN(C)P(N(C)C)N(C)C
38,P([NH]CCOC)([NH]CCOC)[NH]CCOC,[NH]CCOC,COCCNP(NCCOC)NCCOC
39,P([C]12C[C@@H]3C[C@H](C1)C[C@H](C2)C3)([C]12C[C@@H]3C[C@H](C1)C[C@H](C2)C3)[C]12C[C@@H]3C[C@H](C1)C[C@H](C2)C3,[C]12C[C@@H]3C[C@H](C1)C[C@H](C2)C3,C1[C@H]2C[C@H]3CC1(P(C14C[C@H]5C[C@@H](C1)C[C@@H](C4)C5)C14C[C@H]5C[C@@H](C1)C[C@@H](C4)C5)C[C@@H](C2)C3
40,P([CH2]C)([CH2]C)[CH2]C,[CH2]C,CCP(CC)CC
41,P([C]1C(=C1C(C)(C)C)C(C)(C)C)([C]1C(=C1C(C)(C)C)C(C)(C)C)[C]1C(=C1C(C)(C)C)C(C)(C)C,[C]1C(=C1C(C)(C)C)C(C)(C)C,CC(C)(C)C1=C(C(C)(C)C)[C]1P([C]1C(C(C)(C)C)=C1C(C)(C)C)[C]1C(C(C)(C)C)=C1C(C)(C)C
42,P([CH2]Cl)([CH2]Cl)[CH2]Cl,[CH2]Cl,ClCP(CCl)CCl
43,P([c]1c(cc(cc1C)C)C)([c]1c(cc(cc1C)C)C)[c]1c(cc(cc1C)C)C,[c]1c(cc(cc1C)C)C,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1
44,P([N][C@@H](C)c1ccccc1)([N][C@@H](C)c1ccccc1)[N][C@@H](C)c1ccccc1,[N][C@@H](C)c1ccccc1,C[C@H]([N]P([N][C@@H](C)c1ccccc1)[N][C@@H](C)c1ccccc1)c1ccccc1
45,P([c]1c(cccc1)c1ccccc1)([c]1c(cccc1)c1ccccc1)[c]1c(cccc1)c1ccccc1,[c]1c(cccc1)c1ccccc1,c1ccc(-c2ccccc2P(c2ccccc2-c2ccccc2)c2ccccc2-c2ccccc2)cc1
46,P([C]1=C(C2(C31CC3)CC2)C1(CC1)[C]1CC1)([C]1=C(C2(C31CC3)CC2)C1(CC1)[C]1CC1)[C]1=C(C2(C31CC3)CC2)C1(CC1)[C]1CC1,[C]1=C(C2(C31CC3)CC2)C1(CC1)[C]1CC1,C1C[C]1C1(C2=C(P(C3=C(C4([C]5CC5)CC4)C4(CC4)C34CC4)C3=C(C4([C]5CC5)CC4)C4(CC4)C34CC4)C3(CC3)C23CC3)CC1
47,P([CH2]COC)([CH2]COC)[CH2]COC,[CH2]COC,COCCP(CCOC)CCOC
48,P([CH2]c1ccccc1)([CH2]c1ccccc1)[CH2]c1ccccc1,[CH2]c1ccccc1,c1ccc(CP(Cc2ccccc2)Cc2ccccc2)cc1
49,P(n1c2ccc[cH]c2c2ccccc12)(n1c2ccc[cH]c2c2ccccc12)n1c2ccc[cH]c2c2ccccc12,n1c2ccc[cH]c2c2ccccc12,c1ccc2c(c1)c1ccccc1n2P(n1c2ccccc2c2ccccc21)n1c2ccccc2c2ccccc21
50,P([C]1(C(=C(C(=C1C)C)C)C)C)([C]1(C(=C(C(=C1C)C)C)C)C)[C]1(C(=C(C(=C1C)C)C)C)C,[C]1(C(=C(C(=C1C)C)C)C)C,CC1=C(C)C(C)(P(C2(C)C(C)=C(C)C(C)=C2C)C2(C)C(C)=C(C)C(C)=C2C)C(C)=C1C
51,P(Cl)(Cl)Cl,Cl,ClP(Cl)Cl
52,P([c]1c(cccc1C)C)([c]1c(cccc1C)C)[c]1c(cccc1C)C,[c]1c(cccc1C)C,Cc1cccc(C)c1P(c1c(C)cccc1C)c1c(C)cccc1C
53,P([S]C)([S]C)[S]C,[S]C,CSP(SC)SC
54,P([O]CC)([O]CC)[O]CC,[O]CC,CCOP(OCC)OCC
55,P([O]C(C(F)(F)F)C(F)(F)F)([O]C(C(F)(F)F)C(F)(F)F)[O]C(C(F)(F)F)C(F)(F)F,[O]C(C(F)(F)F)C(F)(F)F,FC(F)(F)C(OP(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)C(F)(F)F
56,P(C(F)F)(C(F)F)C(F)F,C(F)F,FC(F)P(C(F)F)C(F)F
57,P(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)P(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
58,P([CH2]CC)([CH2]CC)[CH2]CC,[CH2]CC,CCCP(CCC)CCC
59,P([NH2])([NH2])[NH2],[NH2],NP(N)N
60,P([C]1([C]2CCC2)CCCCC1)([C]1([C]2CCC2)CCCCC1)[C]1([C]2CCC2)CCCCC1,[C]1([C]2CCC2)CCCCC1,C1CCC([C]2CCC2)(P(C2([C]3CCC3)CCCCC2)C2([C]3CCC3)CCCCC2)CC1
61,P([c]1c(cc(cc1C(C)(C)C)C(C)(C)C)C(C)(C)C)([c]1c(cc(cc1C(C)(C)C)C(C)(C)C)C(C)(C)C)[c]1c(cc(cc1C(C)(C)C)C(C)(C)C)C(C)(C)C,[c]1c(cc(cc1C(C)(C)C)C(C)(C)C)C(C)(C)C,CC(C)(C)c1cc(C(C)(C)C)c(P(c2c(C(C)(C)C)cc(C(C)(C)C)cc2C(C)(C)C)c2c(C(C)(C)C)cc(C(C)(C)C)cc2C(C)(C)C)c(C(C)(C)C)c1
62,P([NH]C(C)C)([NH]C(C)C)[NH]C(C)C,[NH]C(C)C,CC(C)NP(NC(C)C)NC(C)C
63,P(B)(B)B,B,BP(B)B
65,P([C][C](c1ccccc1)c1ccccc1)([C][C](c1ccccc1)c1ccccc1)[C][C](c1ccccc1)c1ccccc1,[C][C](c1ccccc1)c1ccccc1,[C]([C](c1ccccc1)c1ccccc1)P([C][C](c1ccccc1)c1ccccc1)[C][C](c1ccccc1)c1ccccc1
66,P([N](CC)CC)([N](CC)CC)[N](CC)CC,[N](CC)CC,CCN(CC)P(N(CC)CC)N(CC)CC
67,P([CH]1CCCC1)([CH]1CCCC1)[CH]1CCCC1,[CH]1CCCC1,C1CCC(P(C2CCCC2)C2CCCC2)C1
68,P([CH]C(C)(C)C)([CH]C(C)(C)C)[CH]C(C)(C)C,[CH]C(C)(C)C,CC(C)(C)[CH]P([CH]C(C)(C)C)[CH]C(C)(C)C
69,P([CH2]CCC)([CH2]CCC)[CH2]CCC,[CH2]CCC,CCCCP(CCCC)CCCC
70,P([CH2]C=C)([CH2]C=C)[CH2]C=C,[CH2]C=C,C=CCP(CC=C)CC=C
71,P([CH2]C(C)C)([CH2]C(C)C)[CH2]C(C)C,[CH2]C(C)C,CC(C)CP(CC(C)C)CC(C)C
73,P([C]1=CC(=O)[C@H]2[C@@H]1CCC2)([C]1=CC(=O)[C@H]2[C@@H]1CCC2)[C]1=CC(=O)[C@H]2[C@@H]1CCC2,[C]1=CC(=O)[C@H]2[C@@H]1CCC2,O=C1C=C(P(C2=CC(=O)[C@@H]3CCC[C@H]23)C2=CC(=O)[C@@H]3CCC[C@H]23)[C@H]2CCC[C@@H]12
74,P([c]1cc(ccc1)C)([c]1cc(ccc1)C)[c]1cc(ccc1)C,[c]1cc(ccc1)C,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1
75,P([NH]C(C)(C)C)([NH]C(C)(C)C)[NH]C(C)(C)C,[NH]C(C)(C)C,CC(C)(C)NP(NC(C)(C)C)NC(C)(C)C
76,P([O]c1c(cc(cc1C(C)(C)C)C(C)(C)C)C1(C)CC1)([O]c1c(cc(cc1C(C)(C)C)C(C)(C)C)C1(C)CC1)[O]c1c(cc(cc1C(C)(C)C)C(C)(C)C)C1(C)CC1,[O]c1c(cc(cc1C(C)(C)C)C(C)(C)C)C1(C)CC1,CC(C)(C)c1cc(C(C)(C)C)c(OP(Oc2c(C(C)(C)C)cc(C(C)(C)C)cc2C2(C)CC2)Oc2c(C(C)(C)C)cc(C(C)(C)C)cc2C2(C)CC2)c(C2(C)CC2)c1
77,P([O]C[C@@H]1[C@H](C1)C)([O]C[C@@H]1[C@H](C1)C)[O]C[C@@H]1[C@H](C1)C,[O]C[C@@H]1[C@H](C1)C,C[C@H]1C[C@@H]1COP(OC[C@H]1C[C@@H]1C)OC[C@H]1C[C@@H]1C
78,P([O]c1c(F)cccc1F)([O]c1c(F)cccc1F)[O]c1c(F)cccc1F,[O]c1c(F)cccc1F,Fc1cccc(F)c1OP(Oc1c(F)cccc1F)Oc1c(F)cccc1F
79,P([CH2])([CH2])[CH2],[CH2],[CH2]P([CH2])[CH2]
82,P(n1nc(c[c]1C(C)(C)C)C(C)(C)C)(n1nc(c[c]1C(C)(C)C)C(C)(C)C)n1nc(c[c]1C(C)(C)C)C(C)(C)C,n1nc(c[c]1C(C)(C)C)C(C)(C)C,CC(C)(C)c1cc(C(C)(C)C)n(P(n2nc(C(C)(C)C)cc2C(C)(C)C)n2nc(C(C)(C)C)cc2C(C)(C)C)n1
83,P([c]1sccc1)([c]1sccc1)[c]1sccc1,[c]1sccc1,c1csc(P(c2cccs2)c2cccs2)c1
84,P([N]1CCCC1)([N]1CCCC1)[N]1CCCC1,[N]1CCCC1,C1CCN(P(N2CCCC2)N2CCCC2)C1
85,P([C]1([C]2CC2)CCCCC1)([C]1([C]2CC2)CCCCC1)[C]1([C]2CC2)CCCCC1,[C]1([C]2CC2)CCCCC1,C1CCC([C]2CC2)(P(C2([C]3CC3)CCCCC2)C2([C]3CC3)CCCCC2)CC1
86,P([NH]N1CCCCC1)([NH]N1CCCCC1)[NH]N1CCCCC1,[NH]N1CCCCC1,C1CCN(NP(NN2CCCCC2)NN2CCCCC2)CC1
87,P([C]1=C([C@H]2c3ccccc3[C@@H]1c1ccccc21)c1ccccc1)([C]1=C([C@H]2c3ccccc3[C@@H]1c1ccccc21)c1ccccc1)[C]1=C([C@H]2c3ccccc3[C@@H]1c1ccccc21)c1ccccc1,[C]1=C([C@H]2c3ccccc3[C@@H]1c1ccccc21)c1ccccc1,c1ccc(C2=C(P(C3=C(c4ccccc4)[C@H]4c5ccccc5[C@@H]3c3ccccc34)C3=C(c4ccccc4)[C@H]4c5ccccc5[C@@H]3c3ccccc34)[C@H]3c4ccccc4[C@@H]2c2ccccc23)cc1
88,P([C]#C)([C]#C)[C]#C,[C]#C,C#CP(C#C)C#C
89,P([N](c1ccccc1)c1ccccc1)([N](c1ccccc1)c1ccccc1)[N](c1ccccc1)c1ccccc1,[N](c1ccccc1)c1ccccc1,c1ccc(N(c2ccccc2)P(N(c2ccccc2)c2ccccc2)N(c2ccccc2)c2ccccc2)cc1
90,P([C]1([C]2CCC2)CCCC1)([C]1([C]2CCC2)CCCC1)[C]1([C]2CCC2)CCCC1,[C]1([C]2CCC2)CCCC1,C1C[C](C2(P(C3([C]4CCC4)CCCC3)C3([C]4CCC4)CCCC3)CCCC2)C1
91,P([c]1c(cccc1)N)([c]1c(cccc1)N)[c]1c(cccc1)N,[c]1c(cccc1)N,Nc1ccccc1P(c1ccccc1N)c1ccccc1N
92,P([CH]([Si](C)(C)C)[Si](C)(C)C)([CH]([Si](C)(C)C)[Si](C)(C)C)[CH]([Si](C)(C)C)[Si](C)(C)C,[CH]([Si](C)(C)C)[Si](C)(C)C,C[Si](C)(C)C(P(C([Si](C)(C)C)[Si](C)(C)C)C([Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C
95,P([C]([Si](C)(C)C)c1ccccc1)([C]([Si](C)(C)C)c1ccccc1)[C]([Si](C)(C)C)c1ccccc1,[C]([Si](C)(C)C)c1ccccc1,C[Si](C)(C)[C](c1ccccc1)P([C](c1ccccc1)[Si](C)(C)C)[C](c1ccccc1)[Si](C)(C)C
96,P([NH]c1ccccn1)([NH]c1ccccn1)[NH]c1ccccn1,[NH]c1ccccn1,c1ccc(NP(Nc2ccccn2)Nc2ccccn2)nc1
97,P([C](=C)C)([C](=C)C)[C](=C)C,[C](=C)C,C=C(C)P(C(=C)C)C(=C)C
98,P([C]1=C[C]=[C][C]=[C]1)([C]1=C[C]=[C][C]=[C]1)[C]1=C[C]=[C][C]=[C]1,[C]1=C[C]=[C][C]=[C]1,[c]1[c][c]c(P(c2[c][c][c][c]c2)c2[c][c][c][c]c2)c[c]1
100,P([C]1=CC=C[C]=[C]1)([C]1=CC=C[C]=[C]1)[C]1=CC=C[C]=[C]1,[C]1=CC=C[C]=[C]1,[c]1[c]c(P(c2[c][c]ccc2)c2[c][c]ccc2)ccc1
101,P([NH]CC(OC)OC)([NH]CC(OC)OC)[NH]CC(OC)OC,[NH]CC(OC)OC,COC(CNP(NCC(OC)OC)NCC(OC)OC)OC
102,P([NH][C]1N(C(=C(N1C(C)C)C)C)C(C)C)([NH][C]1N(C(=C(N1C(C)C)C)C)C(C)C)[NH][C]1N(C(=C(N1C(C)C)C)C)C(C)C,[NH][C]1N(C(=C(N1C(C)C)C)C)C(C)C,CC1=C(C)N(C(C)C)[C](NP(N[C]2N(C(C)C)C(C)=C(C)N2C(C)C)N[C]2N(C(C)C)C(C)=C(C)N2C(C)C)N1C(C)C
103,P([C]1=C(/C=N/C(C)(C)C)CCC1)([C]1=C(/C=N/C(C)(C)C)CCC1)[C]1=C(/C=N/C(C)(C)C)CCC1,[C]1=C(/C=N/C(C)(C)C)CCC1,CC(C)(C)/N=C/C1=C(P(C2=C(/C=N/C(C)(C)C)CCC2)C2=C(/C=N/C(C)(C)C)CCC2)CCC1
104,P([NH]c1c(cccc1)C#N)([NH]c1c(cccc1)C#N)[NH]c1c(cccc1)C#N,[NH]c1c(cccc1)C#N,N#Cc1ccccc1NP(Nc1ccccc1C#N)Nc1ccccc1C#N
105,P([c]1ccncc1)([c]1ccncc1)[c]1ccncc1,[c]1ccncc1,c1cc(P(c2ccncc2)c2ccncc2)ccn1
106,P([NH]C)([NH]C)[NH]C,[NH]C,CNP(NC)NC
107,P(B[N+](C)(C)C)(B[N+](C)(C)C)B[N+](C)(C)C,B[N+](C)(C)C,C[N+](C)(C)BP(B[N+](C)(C)C)B[N+](C)(C)C
108,P([O]C(c1ccccc1)(c1ccccc1)c1ccccc1)([O]C(c1ccccc1)(c1ccccc1)c1ccccc1)[O]C(c1ccccc1)(c1ccccc1)c1ccccc1,[O]C(c1ccccc1)(c1ccccc1)c1ccccc1,c1ccc(C(OP(OC(c2ccccc2)(c2ccccc2)c2ccccc2)OC(c2ccccc2)(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)cc1
109,P([c]1ccc2ccccc2c1c1c2ccccc2ccc1c1ccccc1)([c]1ccc2ccccc2c1c1c2ccccc2ccc1c1ccccc1)[c]1ccc2ccccc2c1c1c2ccccc2ccc1c1ccccc1,[c]1ccc2ccccc2c1c1c2ccccc2ccc1c1ccccc1,c1ccc(-c2ccc3ccccc3c2-c2c(P(c3ccc4ccccc4c3-c3c(-c4ccccc4)ccc4ccccc34)c3ccc4ccccc4c3-c3c(-c4ccccc4)ccc4ccccc34)ccc3ccccc23)cc1
110,P([CH2]Cc1ccccc1)([CH2]Cc1ccccc1)[CH2]Cc1ccccc1,[CH2]Cc1ccccc1,c1ccc(CCP(CCc2ccccc2)CCc2ccccc2)cc1
111,P([CH2]C1CC1)([CH2]C1CC1)[CH2]C1CC1,[CH2]C1CC1,C1CC1CP(CC1CC1)CC1CC1
112,P([CH]=C=C(c1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1)([CH]=C=C(c1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1)[CH]=C=C(c1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1,[CH]=C=C(c1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1,CN(C)c1ccc(C(=C=CP(C=C=C(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)C=C=C(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1
113,P([c]1ccc(c2c(=O)oc3cc(ccc3c2)OC)cc1)([c]1ccc(c2c(=O)oc3cc(ccc3c2)OC)cc1)[c]1ccc(c2c(=O)oc3cc(ccc3c2)OC)cc1,[c]1ccc(c2c(=O)oc3cc(ccc3c2)OC)cc1,COc1ccc2cc(-c3ccc(P(c4ccc(-c5cc6ccc(OC)cc6oc5=O)cc4)c4ccc(-c5cc6ccc(OC)cc6oc5=O)cc4)cc3)c(=O)oc2c1
114,P([NH]CC)([NH]CC)[NH]CC,[NH]CC,CCNP(NCC)NCC
115,P([c]1c(cccc1)C(=O)OC)([c]1c(cccc1)C(=O)OC)[c]1c(cccc1)C(=O)OC,[c]1c(cccc1)C(=O)OC,COC(=O)c1ccccc1P(c1ccccc1C(=O)OC)c1ccccc1C(=O)OC
116,P([c]1c2ccccc2ccc1)([c]1c2ccccc2ccc1)[c]1c2ccccc2ccc1,[c]1c2ccccc2ccc1,c1ccc2c(P(c3cccc4ccccc34)c3cccc4ccccc34)cccc2c1
117,P([NH]CC=C)([NH]CC=C)[NH]CC=C,[NH]CC=C,C=CCNP(NCC=C)NCC=C
118,P([CH](CC(C)C)CC(C)C)([CH](CC(C)C)CC(C)C)[CH](CC(C)C)CC(C)C,[CH](CC(C)C)CC(C)C,CC(C)CC(CC(C)C)P(C(CC(C)C)CC(C)C)C(CC(C)C)CC(C)C
120,P([C](/C=C/[Si](C)(C)C)[Si](C)(C)C)([C](/C=C/[Si](C)(C)C)[Si](C)(C)C)[C](/C=C/[Si](C)(C)C)[Si](C)(C)C,[C](/C=C/[Si](C)(C)C)[Si](C)(C)C,C[Si](C)(C)/C=C/[C](P([C](/C=C/[Si](C)(C)C)[Si](C)(C)C)[C](/C=C/[Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C
