,SMILES,Subs,Can_Smiles
121,P([N](Cc1ccccc1)Cc1ccccc1)([N](Cc1ccccc1)Cc1ccccc1)[N](Cc1ccccc1)Cc1ccccc1,[N](Cc1ccccc1)Cc1ccccc1,c1ccc(CN(Cc2ccccc2)P(N(Cc2ccccc2)Cc2ccccc2)N(Cc2ccccc2)Cc2ccccc2)cc1
123,P([c]1ccccc1C(=C=C(C(C)(C)C)c1ccccc1)C)([c]1ccccc1C(=C=C(C(C)(C)C)c1ccccc1)C)[c]1ccccc1C(=C=C(C(C)(C)C)c1ccccc1)C,[c]1ccccc1C(=C=C(C(C)(C)C)c1ccccc1)C,CC(=C=C(c1ccccc1)C(C)(C)C)c1ccccc1P(c1ccccc1C(C)=C=C(c1ccccc1)C(C)(C)C)c1ccccc1C(C)=C=C(c1ccccc1)C(C)(C)C
124,P([c]1ccccc1c1c(cccc1)C)([c]1ccccc1c1c(cccc1)C)[c]1ccccc1c1c(cccc1)C,[c]1ccccc1c1c(cccc1)C,Cc1ccccc1-c1ccccc1P(c1ccccc1-c1ccccc1C)c1ccccc1-c1ccccc1C
125,P([C]1=[C]C=CC=C1)([C]1=[C]C=CC=C1)[C]1=[C]C=CC=C1,[C]1=[C]C=CC=C1,[c]1ccccc1P(c1[c]cccc1)c1[c]cccc1
126,P([NH][C@@H](C)c1ccccc1)([NH][C@@H](C)c1ccccc1)[NH][C@@H](C)c1ccccc1,[NH][C@@H](C)c1ccccc1,C[C@H](NP(N[C@@H](C)c1ccccc1)N[C@@H](C)c1ccccc1)c1ccccc1
127,P(Br)(Br)Br,Br,BrP(Br)Br
128,P([C](=C)c1ccccc1)([C](=C)c1ccccc1)[C](=C)c1ccccc1,[C](=C)c1ccccc1,C=C(c1ccccc1)P(C(=C)c1ccccc1)C(=C)c1ccccc1
129,P([C]1(CC1)C#N)([C]1(CC1)C#N)[C]1(CC1)C#N,[C]1(CC1)C#N,N#CC1(P(C2(C#N)CC2)C2(C#N)CC2)CC1
130,P([NH]c1c(C)cc(C)cc1C)([NH]c1c(C)cc(C)cc1C)[NH]c1c(C)cc(C)cc1C,[NH]c1c(C)cc(C)cc1C,Cc1cc(C)c(NP(Nc2c(C)cc(C)cc2C)Nc2c(C)cc(C)cc2C)c(C)c1
131,P([c]1ccc(cc1)N(C)C)([c]1ccc(cc1)N(C)C)[c]1ccc(cc1)N(C)C,[c]1ccc(cc1)N(C)C,CN(C)c1ccc(P(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1
132,P([C]#C[C](c1ccccc1)c1ccccc1)([C]#C[C](c1ccccc1)c1ccccc1)[C]#C[C](c1ccccc1)c1ccccc1,[C]#C[C](c1ccccc1)c1ccccc1,C(#CP(C#C[C](c1ccccc1)c1ccccc1)C#C[C](c1ccccc1)c1ccccc1)[C](c1ccccc1)c1ccccc1
133,P([c]1c(OC)cccc1)([c]1c(OC)cccc1)[c]1c(OC)cccc1,[c]1c(OC)cccc1,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC
134,P([CH2]CC(=O)NCCC(=O)OC)([CH2]CC(=O)NCCC(=O)OC)[CH2]CC(=O)NCCC(=O)OC,[CH2]CC(=O)NCCC(=O)OC,COC(=O)CCNC(=O)CCP(CCC(=O)NCCC(=O)OC)CCC(=O)NCCC(=O)OC
135,P([c]1c(cccc1)C(=O)O)([c]1c(cccc1)C(=O)O)[c]1c(cccc1)C(=O)O,[c]1c(cccc1)C(=O)O,O=C(O)c1ccccc1P(c1ccccc1C(=O)O)c1ccccc1C(=O)O
136,P([C]1(C2=CCCCC2)CC1)([C]1(C2=CCCCC2)CC1)[C]1(C2=CCCCC2)CC1,[C]1(C2=CCCCC2)CC1,C1=C(C2(P(C3(C4=CCCCC4)CC3)C3(C4=CCCCC4)CC3)CC2)CCCC1
137,P([O]c1c(cccc1C)C)([O]c1c(cccc1C)C)[O]c1c(cccc1C)C,[O]c1c(cccc1C)C,Cc1cccc(C)c1OP(Oc1c(C)cccc1C)Oc1c(C)cccc1C
138,P([C]#Cc1ccccc1)([C]#Cc1ccccc1)[C]#Cc1ccccc1,[C]#Cc1ccccc1,C(#CP(C#Cc1ccccc1)C#Cc1ccccc1)c1ccccc1
139,P([Se]c1ccccn1)([Se]c1ccccn1)[Se]c1ccccn1,[Se]c1ccccn1,c1ccc([Se]P([Se]c2ccccn2)[Se]c2ccccn2)nc1
140,P([CH](C)c1c(ccc(c1)C)C)([CH](C)c1c(ccc(c1)C)C)[CH](C)c1c(ccc(c1)C)C,[CH](C)c1c(ccc(c1)C)C,Cc1ccc(C)c(C(C)P(C(C)c2cc(C)ccc2C)C(C)c2cc(C)ccc2C)c1
141,P([c]1ccccc1/C=N/CC(=O)Nc1ccccc1O)([c]1ccccc1/C=N/CC(=O)Nc1ccccc1O)[c]1ccccc1/C=N/CC(=O)Nc1ccccc1O,[c]1ccccc1/C=N/CC(=O)Nc1ccccc1O,O=C(C/N=C/c1ccccc1P(c1ccccc1/C=N/CC(=O)Nc1ccccc1O)c1ccccc1/C=N/CC(=O)Nc1ccccc1O)Nc1ccccc1O
142,P([CH](C)c1cccc2ccccc12)([CH](C)c1cccc2ccccc12)[CH](C)c1cccc2ccccc12,[CH](C)c1cccc2ccccc12,CC(c1cccc2ccccc12)P(C(C)c1cccc2ccccc12)C(C)c1cccc2ccccc12
143,P([O]C)([O]C)[O]C,[O]C,COP(OC)OC
144,P([CH2]C1=CC(=O)OC(C)(C)O1)([CH2]C1=CC(=O)OC(C)(C)O1)[CH2]C1=CC(=O)OC(C)(C)O1,[CH2]C1=CC(=O)OC(C)(C)O1,CC1(C)OC(=O)C=C(CP(CC2=CC(=O)OC(C)(C)O2)CC2=CC(=O)OC(C)(C)O2)O1
145,P([c]1c(cccc1c1c(cccc1C(C)C)C(C)C)c1c(cccc1C(C)C)C(C)C)([c]1c(cccc1c1c(cccc1C(C)C)C(C)C)c1c(cccc1C(C)C)C(C)C)[c]1c(cccc1c1c(cccc1C(C)C)C(C)C)c1c(cccc1C(C)C)C(C)C,[c]1c(cccc1c1c(cccc1C(C)C)C(C)C)c1c(cccc1C(C)C)C(C)C,CC(C)c1cccc(C(C)C)c1-c1cccc(-c2c(C(C)C)cccc2C(C)C)c1P(c1c(-c2c(C(C)C)cccc2C(C)C)cccc1-c1c(C(C)C)cccc1C(C)C)c1c(-c2c(C(C)C)cccc2C(C)C)cccc1-c1c(C(C)C)cccc1C(C)C
147,P([c]1c(cc(cc1)C(F)(F)F)C(F)(F)F)([c]1c(cc(cc1)C(F)(F)F)C(F)(F)F)[c]1c(cc(cc1)C(F)(F)F)C(F)(F)F,[c]1c(cc(cc1)C(F)(F)F)C(F)(F)F,FC(F)(F)c1ccc(P(c2ccc(C(F)(F)F)cc2C(F)(F)F)c2ccc(C(F)(F)F)cc2C(F)(F)F)c(C(F)(F)F)c1
148,P([NH]c1ccccc1)([NH]c1ccccc1)[NH]c1ccccc1,[NH]c1ccccc1,c1ccc(NP(Nc2ccccc2)Nc2ccccc2)cc1
149,P(n1[n]ccc1)(n1[n]ccc1)n1[n]ccc1,n1[n]ccc1,c1cnn(P(n2cccn2)n2cccn2)c1
150,P(C(=C(F)F)F)(C(=C(F)F)F)C(=C(F)F)F,C(=C(F)F)F,FC(F)=C(F)P(C(F)=C(F)F)C(F)=C(F)F
151,P([O]CCC)([O]CCC)[O]CCC,[O]CCC,CCCOP(OCCC)OCCC
152,P([CH2]O)([CH2]O)[CH2]O,[CH2]O,OCP(CO)CO
153,P([CH]1C=CC=CC=C1)([CH]1C=CC=CC=C1)[CH]1C=CC=CC=C1,[CH]1C=CC=CC=C1,C1=CC=CC(P(C2C=CC=CC=C2)C2C=CC=CC=C2)C=C1
154,P([c]1occc1)([c]1occc1)[c]1occc1,[c]1occc1,c1coc(P(c2ccco2)c2ccco2)c1
155,P([c]1c2ccccc2cc2ccccc12)([c]1c2ccccc2cc2ccccc12)[c]1c2ccccc2cc2ccccc12,[c]1c2ccccc2cc2ccccc12,c1ccc2c(P(c3c4ccccc4cc4ccccc34)c3c4ccccc4cc4ccccc34)c3ccccc3cc2c1
157,P([CH2]C#C)([CH2]C#C)[CH2]C#C,[CH2]C#C,C#CCP(CC#C)CC#C
158,P([c]1cnccc1)([c]1cnccc1)[c]1cnccc1,[c]1cnccc1,c1cncc(P(c2cccnc2)c2cccnc2)c1
159,P([CH2]N1CCOCC1)([CH2]N1CCOCC1)[CH2]N1CCOCC1,[CH2]N1CCOCC1,C1CN(CP(CN2CCOCC2)CN2CCOCC2)CCO1
160,P([c]1cc(F)cc(F)c1)([c]1cc(F)cc(F)c1)[c]1cc(F)cc(F)c1,[c]1cc(F)cc(F)c1,Fc1cc(F)cc(P(c2cc(F)cc(F)c2)c2cc(F)cc(F)c2)c1
161,P([O]C(C)C)([O]C(C)C)[O]C(C)C,[O]C(C)C,CC(C)OP(OC(C)C)OC(C)C
162,P([c]1c(cccc1)c1c(cccc1OC)OC)([c]1c(cccc1)c1c(cccc1OC)OC)[c]1c(cccc1)c1c(cccc1OC)OC,[c]1c(cccc1)c1c(cccc1OC)OC,COc1cccc(OC)c1-c1ccccc1P(c1ccccc1-c1c(OC)cccc1OC)c1ccccc1-c1c(OC)cccc1OC
163,P([C]1=c2c(=C3C1=CC=C[CH]3)cccc2)([C]1=c2c(=C3C1=CC=C[CH]3)cccc2)[C]1=c2c(=C3C1=CC=C[CH]3)cccc2,[C]1=c2c(=C3C1=CC=C[CH]3)cccc2,[CH]1C=CC=C2C1=c1ccccc1=C2P(C1=c2ccccc2=C2[CH]C=CC=C21)C1=c2ccccc2=C2[CH]C=CC=C21
165,P([S]c1ccccc1)([S]c1ccccc1)[S]c1ccccc1,[S]c1ccccc1,c1ccc(SP(Sc2ccccc2)Sc2ccccc2)cc1
166,P(n1[cH]ccc1C#N)(n1[cH]ccc1C#N)n1[cH]ccc1C#N,n1[cH]ccc1C#N,N#Cc1cccn1P(n1cccc1C#N)n1cccc1C#N
167,P([CH2]c1c2ccccc2cc2ccccc12)([CH2]c1c2ccccc2cc2ccccc12)[CH2]c1c2ccccc2cc2ccccc12,[CH2]c1c2ccccc2cc2ccccc12,c1ccc2c(CP(Cc3c4ccccc4cc4ccccc34)Cc3c4ccccc4cc4ccccc34)c3ccccc3cc2c1
168,P([C]1N(C(=C(N1C)C)C)C)([C]1N(C(=C(N1C)C)C)C)[C]1N(C(=C(N1C)C)C)C,[C]1N(C(=C(N1C)C)C)C,CC1=C(C)N(C)[C](P([C]2N(C)C(C)=C(C)N2C)[C]2N(C)C(C)=C(C)N2C)N1C
170,P([c]1c(OC)cc(OC)cc1OC)([c]1c(OC)cc(OC)cc1OC)[c]1c(OC)cc(OC)cc1OC,[c]1c(OC)cc(OC)cc1OC,COc1cc(OC)c(P(c2c(OC)cc(OC)cc2OC)c2c(OC)cc(OC)cc2OC)c(OC)c1
171,P([c]1c(cccc1)C(C)C)([c]1c(cccc1)C(C)C)[c]1c(cccc1)C(C)C,[c]1c(cccc1)C(C)C,CC(C)c1ccccc1P(c1ccccc1C(C)C)c1ccccc1C(C)C
172,P([NH]C(=O)c1ncccc1)([NH]C(=O)c1ncccc1)[NH]C(=O)c1ncccc1,[NH]C(=O)c1ncccc1,O=C(NP(NC(=O)c1ccccn1)NC(=O)c1ccccn1)c1ccccn1
174,P([c]1ccccc1c1c(cc(cc1C(C)C)C(C)C)C(C)C)([c]1ccccc1c1c(cc(cc1C(C)C)C(C)C)C(C)C)[c]1ccccc1c1c(cc(cc1C(C)C)C(C)C)C(C)C,[c]1ccccc1c1c(cc(cc1C(C)C)C(C)C)C(C)C,CC(C)c1cc(C(C)C)c(-c2ccccc2P(c2ccccc2-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c2ccccc2-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c(C(C)C)c1
175,P([C]([N][N])c1c(cccc1)C(F)(F)F)([C]([N][N])c1c(cccc1)C(F)(F)F)[C]([N][N])c1c(cccc1)C(F)(F)F,[C]([N][N])c1c(cccc1)C(F)(F)F,[N][N][C](c1ccccc1C(F)(F)F)P([C]([N][N])c1ccccc1C(F)(F)F)[C]([N][N])c1ccccc1C(F)(F)F
176,P([O]C(=C)c1ccccc1)([O]C(=C)c1ccccc1)[O]C(=C)c1ccccc1,[O]C(=C)c1ccccc1,C=C(OP(OC(=C)c1ccccc1)OC(=C)c1ccccc1)c1ccccc1
177,P([c]1ccc(cc1)C(F)(F)F)([c]1ccc(cc1)C(F)(F)F)[c]1ccc(cc1)C(F)(F)F,[c]1ccc(cc1)C(F)(F)F,FC(F)(F)c1ccc(P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)cc1
178,P([c]1ccccc1C#Cc1ccc(cc1)C)([c]1ccccc1C#Cc1ccc(cc1)C)[c]1ccccc1C#Cc1ccc(cc1)C,[c]1ccccc1C#Cc1ccc(cc1)C,Cc1ccc(C#Cc2ccccc2P(c2ccccc2C#Cc2ccc(C)cc2)c2ccccc2C#Cc2ccc(C)cc2)cc1
179,P([C]#CC)([C]#CC)[C]#CC,[C]#CC,CC#CP(C#CC)C#CC
180,P([C]([Si](C)(C)C)[Si](C)(C)C)([C]([Si](C)(C)C)[Si](C)(C)C)[C]([Si](C)(C)C)[Si](C)(C)C,[C]([Si](C)(C)C)[Si](C)(C)C,C[Si](C)(C)[C](P([C]([Si](C)(C)C)[Si](C)(C)C)[C]([Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C
181,P([c]1ccccc1NC(=O)CNC(=O)OCc1ccccc1)([c]1ccccc1NC(=O)CNC(=O)OCc1ccccc1)[c]1ccccc1NC(=O)CNC(=O)OCc1ccccc1,[c]1ccccc1NC(=O)CNC(=O)OCc1ccccc1,O=C(CNC(=O)OCc1ccccc1)Nc1ccccc1P(c1ccccc1NC(=O)CNC(=O)OCc1ccccc1)c1ccccc1NC(=O)CNC(=O)OCc1ccccc1
182,P([O]c1c(cc(cc1C(C)(C)C)C)C(C)(C)C)([O]c1c(cc(cc1C(C)(C)C)C)C(C)(C)C)[O]c1c(cc(cc1C(C)(C)C)C)C(C)(C)C,[O]c1c(cc(cc1C(C)(C)C)C)C(C)(C)C,Cc1cc(C(C)(C)C)c(OP(Oc2c(C(C)(C)C)cc(C)cc2C(C)(C)C)Oc2c(C(C)(C)C)cc(C)cc2C(C)(C)C)c(C(C)(C)C)c1
183,P([NH]C1=N[CH]N[N]1)([NH]C1=N[CH]N[N]1)[NH]C1=N[CH]N[N]1,[NH]C1=N[CH]N[N]1,[CH]1N=C(NP(NC2=N[CH]N[N]2)NC2=N[CH]N[N]2)[N]N1
184,P([c]1c(cccc1)C(c1ccccc1)c1ccccc1)([c]1c(cccc1)C(c1ccccc1)c1ccccc1)[c]1c(cccc1)C(c1ccccc1)c1ccccc1,[c]1c(cccc1)C(c1ccccc1)c1ccccc1,c1ccc(C(c2ccccc2)c2ccccc2P(c2ccccc2C(c2ccccc2)c2ccccc2)c2ccccc2C(c2ccccc2)c2ccccc2)cc1
185,P([c]1c(cccc1)C(F)(F)F)([c]1c(cccc1)C(F)(F)F)[c]1c(cccc1)C(F)(F)F,[c]1c(cccc1)C(F)(F)F,FC(F)(F)c1ccccc1P(c1ccccc1C(F)(F)F)c1ccccc1C(F)(F)F
186,P([c]1ccc(cc1)OC)([c]1ccc(cc1)OC)[c]1ccc(cc1)OC,[c]1ccc(cc1)OC,COc1ccc(P(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1
187,P([CH2][NH2+]Cc1ccc(F)cc1)([CH2][NH2+]Cc1ccc(F)cc1)[CH2][NH2+]Cc1ccc(F)cc1,[CH2][NH2+]Cc1ccc(F)cc1,Fc1ccc(C[NH2+]CP(C[NH2+]Cc2ccc(F)cc2)C[NH2+]Cc2ccc(F)cc2)cc1
188,P([C][C]1CC1)([C][C]1CC1)[C][C]1CC1,[C][C]1CC1,[C]([C]1CC1)P([C][C]1CC1)[C][C]1CC1
190,P([N]C(C)(C)C)([N]C(C)(C)C)[N]C(C)(C)C,[N]C(C)(C)C,CC(C)(C)[N]P([N]C(C)(C)C)[N]C(C)(C)C
191,P([N]1C(CCCC1(C)C)(C)C)([N]1C(CCCC1(C)C)(C)C)[N]1C(CCCC1(C)C)(C)C,[N]1C(CCCC1(C)C)(C)C,CC1(C)CCCC(C)(C)N1P(N1C(C)(C)CCCC1(C)C)N1C(C)(C)CCCC1(C)C
193,P([C]1([C]2CCC2)CCC1)([C]1([C]2CCC2)CCC1)[C]1([C]2CCC2)CCC1,[C]1([C]2CCC2)CCC1,C1C[C](C2(P(C3([C]4CCC4)CCC3)C3([C]4CCC4)CCC3)CCC2)C1
194,P([CH2]CC(=O)OC)([CH2]CC(=O)OC)[CH2]CC(=O)OC,[CH2]CC(=O)OC,COC(=O)CCP(CCC(=O)OC)CCC(=O)OC
196,P([CH2]C(OC)OC)([CH2]C(OC)OC)[CH2]C(OC)OC,[CH2]C(OC)OC,COC(CP(CC(OC)OC)CC(OC)OC)OC
197,P([NH])([NH])[NH],[NH],[NH]P([NH])[NH]
198,P([c]1ccc(cc1)C(=O)O)([c]1ccc(cc1)C(=O)O)[c]1ccc(cc1)C(=O)O,[c]1ccc(cc1)C(=O)O,O=C(O)c1ccc(P(c2ccc(C(=O)O)cc2)c2ccc(C(=O)O)cc2)cc1
199,P([O]b1oc2c(o1)cccc2)([O]b1oc2c(o1)cccc2)[O]b1oc2c(o1)cccc2,[O]b1oc2c(o1)cccc2,c1ccc2c(c1)OB(OP(OB1Oc3ccccc3O1)OB1Oc3ccccc3O1)O2
200,P([c]1c(CC)cccc1)([c]1c(CC)cccc1)[c]1c(CC)cccc1,[c]1c(CC)cccc1,CCc1ccccc1P(c1ccccc1CC)c1ccccc1CC
201,P([O]B(C1CCCCC1)C1CCCCC1)([O]B(C1CCCCC1)C1CCCCC1)[O]B(C1CCCCC1)C1CCCCC1,[O]B(C1CCCCC1)C1CCCCC1,C1CCC(B(OP(OB(C2CCCCC2)C2CCCCC2)OB(C2CCCCC2)C2CCCCC2)C2CCCCC2)CC1
202,P([CH2][O])([CH2][O])[CH2][O],[CH2][O],[O]CP(C[O])C[O]
203,P([O]CC(F)(F)F)([O]CC(F)(F)F)[O]CC(F)(F)F,[O]CC(F)(F)F,FC(F)(F)COP(OCC(F)(F)F)OCC(F)(F)F
204,P([NH]c1cc(cc(c1)C(=O)OC)C(=O)OC)([NH]c1cc(cc(c1)C(=O)OC)C(=O)OC)[NH]c1cc(cc(c1)C(=O)OC)C(=O)OC,[NH]c1cc(cc(c1)C(=O)OC)C(=O)OC,COC(=O)c1cc(NP(Nc2cc(C(=O)OC)cc(C(=O)OC)c2)Nc2cc(C(=O)OC)cc(C(=O)OC)c2)cc(C(=O)OC)c1
206,P([CH2]CCN(C)C)([CH2]CCN(C)C)[CH2]CCN(C)C,[CH2]CCN(C)C,CN(C)CCCP(CCCN(C)C)CCCN(C)C
207,P([C](=N\c1ccccc1)\C(C)(C)C)([C](=N\c1ccccc1)\C(C)(C)C)[C](=N\c1ccccc1)\C(C)(C)C,[C](=N\c1ccccc1)\C(C)(C)C,CC(C)(C)/C(=N\c1ccccc1)P(/C(=N/c1ccccc1)C(C)(C)C)/C(=N/c1ccccc1)C(C)(C)C
208,P([CH2]c1c(cc(cc1)F)F)([CH2]c1c(cc(cc1)F)F)[CH2]c1c(cc(cc1)F)F,[CH2]c1c(cc(cc1)F)F,Fc1ccc(CP(Cc2ccc(F)cc2F)Cc2ccc(F)cc2F)c(F)c1
209,P([C]1([C]2CC2)CC21CC2)([C]1([C]2CC2)CC21CC2)[C]1([C]2CC2)CC21CC2,[C]1([C]2CC2)CC21CC2,C1C[C]1C1(P(C2([C]3CC3)CC23CC3)C2([C]3CC3)CC23CC3)CC12CC2
210,P([N]c1c(cccc1C)C)([N]c1c(cccc1C)C)[N]c1c(cccc1C)C,[N]c1c(cccc1C)C,Cc1cccc(C)c1[N]P([N]c1c(C)cccc1C)[N]c1c(C)cccc1C
211,P([C]1([C]2CC2)CCC1)([C]1([C]2CC2)CCC1)[C]1([C]2CC2)CCC1,[C]1([C]2CC2)CCC1,C1CC([C]2CC2)(P(C2([C]3CC3)CCC2)C2([C]3CC3)CCC2)C1
212,P([NH]c1nccc(n1)c1ccccc1)([NH]c1nccc(n1)c1ccccc1)[NH]c1nccc(n1)c1ccccc1,[NH]c1nccc(n1)c1ccccc1,c1ccc(-c2ccnc(NP(Nc3nccc(-c4ccccc4)n3)Nc3nccc(-c4ccccc4)n3)n2)cc1
213,P([C](C#C[C](C)C)C(C)(C)C)([C](C#C[C](C)C)C(C)(C)C)[C](C#C[C](C)C)C(C)(C)C,[C](C#C[C](C)C)C(C)(C)C,C[C](C)C#C[C](P([C](C#C[C](C)C)C(C)(C)C)[C](C#C[C](C)C)C(C)(C)C)C(C)(C)C
214,P([NH]/C(=C\C(=O)C)/C)([NH]/C(=C\C(=O)C)/C)[NH]/C(=C\C(=O)C)/C,[NH]/C(=C\C(=O)C)/C,CC(=O)/C=C(/C)NP(N/C(C)=C\C(C)=O)N/C(C)=C\C(C)=O
215,P([NH]CCCOC)([NH]CCCOC)[NH]CCCOC,[NH]CCCOC,COCCCNP(NCCCOC)NCCCOC
216,P([N]1c2ccccc2C=Cc2ccccc12)([N]1c2ccccc2C=Cc2ccccc12)[N]1c2ccccc2C=Cc2ccccc12,[N]1c2ccccc2C=Cc2ccccc12,C1=Cc2ccccc2N(P(N2c3ccccc3C=Cc3ccccc32)N2c3ccccc3C=Cc3ccccc32)c2ccccc21
217,P([CH]1C(=C(C(=C1C)C)C)C)([CH]1C(=C(C(=C1C)C)C)C)[CH]1C(=C(C(=C1C)C)C)C,[CH]1C(=C(C(=C1C)C)C)C,CC1=C(C)C(P(C2C(C)=C(C)C(C)=C2C)C2C(C)=C(C)C(C)=C2C)C(C)=C1C
218,P([C](C)C)([C](C)C)[C](C)C,[C](C)C,C[C](C)P([C](C)C)[C](C)C
219,P([c]1c(c2ccccc2cc1)c1c(ccc2ccccc12)Cc1ccccc1)([c]1c(c2ccccc2cc1)c1c(ccc2ccccc12)Cc1ccccc1)[c]1c(c2ccccc2cc1)c1c(ccc2ccccc12)Cc1ccccc1,[c]1c(c2ccccc2cc1)c1c(ccc2ccccc12)Cc1ccccc1,c1ccc(Cc2ccc3ccccc3c2-c2c(P(c3ccc4ccccc4c3-c3c(Cc4ccccc4)ccc4ccccc34)c3ccc4ccccc4c3-c3c(Cc4ccccc4)ccc4ccccc34)ccc3ccccc23)cc1
221,P(c1sc2c(n1)c(c(c(c2F)F)F)F)(c1sc2c(n1)c(c(c(c2F)F)F)F)c1sc2c(n1)c(c(c(c2F)F)F)F,c1sc2c(n1)c(c(c(c2F)F)F)F,Fc1c(F)c(F)c2sc(P(c3nc4c(F)c(F)c(F)c(F)c4s3)c3nc4c(F)c(F)c(F)c(F)c4s3)nc2c1F
222,P([C](N(C)C)OCC)([C](N(C)C)OCC)[C](N(C)C)OCC,[C](N(C)C)OCC,CCO[C](N(C)C)P([C](OCC)N(C)C)[C](OCC)N(C)C
223,P([C]1=C[C@H]2c3ccccc3[C@@H]1c1ccccc21)([C]1=C[C@H]2c3ccccc3[C@@H]1c1ccccc21)[C]1=C[C@H]2c3ccccc3[C@@H]1c1ccccc21,[C]1=C[C@H]2c3ccccc3[C@@H]1c1ccccc21,c1ccc2c(c1)[C@H]1C=C(P(C3=C[C@H]4c5ccccc5[C@@H]3c3ccccc34)C3=C[C@H]4c5ccccc5[C@@H]3c3ccccc34)[C@@H]2c2ccccc21
224,P([O][C@H]1[C@@H](CC[C@H](C1)C)C(C)C)([O][C@H]1[C@@H](CC[C@H](C1)C)C(C)C)[O][C@H]1[C@@H](CC[C@H](C1)C)C(C)C,[O][C@H]1[C@@H](CC[C@H](C1)C)C(C)C,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OP(O[C@@H]1C[C@H](C)CC[C@H]1C(C)C)O[C@@H]1C[C@H](C)CC[C@H]1C(C)C
225,P([c]1c(C(C)C)cccc1C(C)C)([c]1c(C(C)C)cccc1C(C)C)[c]1c(C(C)C)cccc1C(C)C,[c]1c(C(C)C)cccc1C(C)C,CC(C)c1cccc(C(C)C)c1P(c1c(C(C)C)cccc1C(C)C)c1c(C(C)C)cccc1C(C)C
226,P([N](Cc1c2ccccc2cc2ccccc12)CCC)([N](Cc1c2ccccc2cc2ccccc12)CCC)[N](Cc1c2ccccc2cc2ccccc12)CCC,[N](Cc1c2ccccc2cc2ccccc12)CCC,CCCN(Cc1c2ccccc2cc2ccccc12)P(N(CCC)Cc1c2ccccc2cc2ccccc12)N(CCC)Cc1c2ccccc2cc2ccccc12
